Row Labels,year,Sum of suicides_no
Albania,,
Albania,2000,54
Albania,2001,119
Albania,2002,133
Albania,2003,124
Albania,2004,146
Albania,2005,0
Albania,2006,0
Albania,2007,124
Albania,2008,160
Albania,2009,0
Albania,2010,96
Albania,2011,
Albania,2012,
Albania,2013,
Albania,2014,
Albania,2015,
Anguilla,,
Anguilla,2000,0
Anguilla,2001,0
Anguilla,2002,1
Anguilla,2003,0
Anguilla,2004,0
Anguilla,2005,0
Anguilla,2006,0
Anguilla,2008,0
Anguilla,2009,0
Anguilla,2010,0
Anguilla,2011,1
Anguilla,2012,0
Anguilla,2013,0
Anguilla,2014,0
Anguilla,2015,0
Antigua and Barbuda,,
Antigua and Barbuda,2000,2
Antigua and Barbuda,2001,2
Antigua and Barbuda,2002,0
Antigua and Barbuda,2003,1
Antigua and Barbuda,2004,2
Antigua and Barbuda,2005,0
Antigua and Barbuda,2006,0
Antigua and Barbuda,2007,1
Antigua and Barbuda,2008,0
Antigua and Barbuda,2009,0
Antigua and Barbuda,2012,0
Antigua and Barbuda,2013,0
Antigua and Barbuda,2014,0
Antigua and Barbuda,2015,1
Argentina,,
Argentina,2000,2774
Argentina,2001,3132
Argentina,2002,3162
Argentina,2003,3289
Argentina,2004,3121
Argentina,2005,3058
Argentina,2006,3108
Argentina,2007,2946
Argentina,2008,3059
Argentina,2009,2884
Argentina,2010,2943
Argentina,2011,2912
Argentina,2012,3248
Argentina,2013,2987
Argentina,2014,3231
Argentina,2015,3073
Armenia,,
Armenia,2000,61
Armenia,2001,60
Armenia,2002,74
Armenia,2003,59
Armenia,2004,
Armenia,2005,
Armenia,2006,78
Armenia,2007,71
Armenia,2008,63
Armenia,2009,53
Armenia,2010,73
Armenia,2011,67
Armenia,2012,79
Armenia,2013,67
Armenia,2014,58
Armenia,2015,74
Aruba,,
Aruba,2000,10
Aruba,2001,4
Aruba,2002,9
Aruba,2003,2
Aruba,2004,8
Aruba,2005,10
Aruba,2006,9
Aruba,2007,8
Aruba,2008,4
Aruba,2009,4
Aruba,2010,7
Aruba,2011,9
Aruba,2012,3
Aruba,2013,2
Aruba,2014,5
Aruba,2015,9
Australia,,
Australia,2000,2391
Australia,2001,2458
Australia,2002,2319
Australia,2003,2156
Australia,2004,2114
Australia,2005,
Australia,2006,2117
Australia,2007,2229
Australia,2008,2341
Australia,2009,2337
Australia,2010,2420
Australia,2011,2392
Australia,2012,2580
Australia,2013,2608
Australia,2014,2891
Australia,2015,3027
Austria,,
Austria,2000,1588
Austria,2001,1489
Austria,2002,1553
Austria,2003,1456
Austria,2004,1422
Austria,2005,1399
Austria,2006,1297
Austria,2007,1285
Austria,2008,1267
Austria,2009,1278
Austria,2010,1264
Austria,2011,1288
Austria,2012,1276
Austria,2013,1291
Austria,2014,1314
Austria,2015,1251
Azerbaijan,,
Azerbaijan,2000,62
Azerbaijan,2001,317
Azerbaijan,2002,92
Azerbaijan,2003,129
Azerbaijan,2004,108
Azerbaijan,2005,
Azerbaijan,2007,55
Bahamas,,
Bahamas,2000,11
Bahamas,2001,1
Bahamas,2002,3
Bahamas,2003,1
Bahamas,2004,2
Bahamas,2005,4
Bahamas,2006,2
Bahamas,2007,5
Bahamas,2008,4
Bahamas,2009,6
Bahamas,2010,10
Bahamas,2011,4
Bahamas,2012,5
Bahamas,2013,5
Bahrain,,
Bahrain,2000,29
Bahrain,2001,23
Bahrain,2002,25
Bahrain,2003,34
Bahrain,2004,42
Bahrain,2005,42
Bahrain,2006,28
Bahrain,2007,40
Bahrain,2008,43
Bahrain,2009,36
Bahrain,2010,19
Bahrain,2011,18
Bahrain,2012,19
Bahrain,2013,5
Bahrain,2014,9
Barbados,,
Barbados,2000,10
Barbados,2001,2
Barbados,2002,0
Barbados,2003,0
Barbados,2004,3
Barbados,2005,1
Barbados,2006,9
Barbados,2007,0
Barbados,2008,1
Barbados,2009,5
Barbados,2010,3
Barbados,2011,0
Barbados,2012,0
Barbados,2013,0
Belarus,,
Belarus,2000,3483
Belarus,2001,3303
Belarus,2002,3291
Belarus,2003,3456
Belarus,2004,
Belarus,2005,
Belarus,2006,
Belarus,2007,2659
Belarus,2008,2658
Belarus,2009,2743
Belarus,2010,2459
Belarus,2011,2172
Belarus,2012,
Belarus,2013,1902
Belarus,2014,1741
Belarus,2015,
Belgium,,
Belgium,2000,2143
Belgium,2001,2165
Belgium,2002,2076
Belgium,2003,2091
Belgium,2004,1987
Belgium,2005,2029
Belgium,2006,1935
Belgium,2007,1857
Belgium,2008,1999
Belgium,2009,2013
Belgium,2010,2013
Belgium,2011,2088
Belgium,2012,2026
Belgium,2013,1895
Belgium,2014,1899
Belgium,2015,1867
Belize,,
Belize,2000,18
Belize,2001,19
Belize,2002,14
Belize,2003,12
Belize,2004,20
Belize,2005,12
Belize,2006,11
Belize,2007,8
Belize,2008,11
Belize,2009,15
Belize,2010,15
Belize,2011,33
Belize,2012,18
Belize,2013,17
Belize,2014,24
Belize,2015,26
Bermuda,,
Bermuda,2000,1
Bermuda,2001,3
Bermuda,2002,3
Bermuda,2003,0
Bermuda,2004,0
Bermuda,2005,3
Bermuda,2006,1
Bermuda,2007,1
Bermuda,2008,1
Bermuda,2009,3
Bermuda,2010,3
Bermuda,2011,0
Bermuda,2012,2
Bermuda,2013,0
Bermuda,2014,1
Bermuda,2015,0
Bolivia,,
Bolivia,2000,11
Bolivia,2001,8
Bolivia,2002,18
Bolivia,2003,17
Bosnia and Herzegovina,,
Bosnia and Herzegovina,2010,
Bosnia and Herzegovina,2011,5
Bosnia and Herzegovina,2012,
Bosnia and Herzegovina,2014,313
Brazil,,
Brazil,2000,6763
Brazil,2001,7710
Brazil,2002,7697
Brazil,2003,7839
Brazil,2004,7995
Brazil,2005,8529
Brazil,2006,8618
Brazil,2007,8855
Brazil,2008,9184
Brazil,2009,9346
Brazil,2010,9429
